u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
302878,437325360,0,True,motorway,,682.239,3,,,65 mph,,,,,,,26230999,CA 85
302883,33104718,0,True,motorway,,634.713,3,,,65 mph,,,yes,,,,"[25029762, 25029771, 184867222]",CA 85
26027688,26029629,0,False,tertiary,Maria Lane,15.929,,,,,,,,,,,8954331,
26027688,65592454,0,False,tertiary,Maria Lane,85.719,,,,,,,,,,,333202259,
26027688,4167747528,0,True,primary,East El Camino Real,177.287,"['3', '4']",,,40 mph,,,,,,,"[415822955, 415822991]",CA 82
26027690,65509095,0,True,primary,East El Camino Real,15.401,3,,,40 mph,,,,,,,50108416,CA 82
26027690,65640633,0,True,secondary,South Wolfe Road,49.156,,,,,,,,,,,97242343,
26027965,65467387,0,False,secondary,Reed Avenue,19.767,4,,,35 mph,,,,,,,416967995,
26027965,65467390,0,False,secondary,Reed Avenue,484.731,"['5', '4']",,,35 mph,,,,,,,"[416968016, 8934661, 416968077]",
26027965,26250370,0,True,secondary,South Wolfe Road,244.661,"['3', '4']",,,35 mph,,,,,,,"[61322248, 416968158]",
26027977,1991407034,0,True,secondary,North Wolfe Road,58.398,,,,,,,,,,,305034398,
26028101,67036838,0,True,motorway,Bayshore Freeway,822.158,4,,,65 mph,,,,,,,509747310,US 101
26028102,26030124,0,True,motorway_link,,270.516,1,,,,,,,,,,9547894,
26028102,469846011,0,True,motorway,Bayshore Freeway,653.965,4,,,65 mph,,,,,,,23722215,US 101
26028723,280017501,0,True,trunk_link,,247.406,1,,,,,,yes,,,,"[9895617, 25684586, 25684594]",
26028723,258968521,0,True,trunk,Central Expressway,608.777,2,,,50 mph,,,,,,,255143247,G6
26028729,257880918,0,True,trunk,Central Expressway,481.907,2,,,50 mph,,,yes,,,,"[188696881, 5012123, 5012124]",G6
26028729,1126448843,0,True,trunk_link,,205.606,,,,,,,,,,,394180402,
26028750,26030097,0,True,primary,West El Camino Real,18.242,4,,,40 mph,,,,,,,184388724,CA 82
26028750,519522085,0,True,primary,South Mathilda Avenue,288.025,"['3', '4']",,,35 mph,,,,,,,"[417030664, 417030671]",
26028751,65518982,0,True,primary_link,,249.582,,,,,,,,,,,"[417048065, 8942074]",
26028751,26028753,0,True,primary,"['North Mathilda Avenue', 'South Mathilda Avenue']",384.783,3,,,"['45 mph', '35 mph']",,,yes,,,,"[18410704, 222794859, 417048270]",
26028753,189815672,0,True,primary,North Mathilda Avenue,204.156,"['3', '4']",,,45 mph,,,yes,,,,"[417048082, 222794859, 417048114]",
26028756,679530210,0,True,primary,North Mathilda Avenue,136.992,3,,,45 mph,,,,,,,417085196,
26028757,240434069,0,True,primary,North Mathilda Avenue,206.057,4,,,45 mph,,,,,,,5012010,
26028757,1970807538,0,True,motorway_link,,257.911,"['1', '2']",,,,,,,,,,"[517256138, 509747339, 9080599]",
26029085,5290990373,0,True,secondary_link,,80.382,1,,,,,,,,,,235754984,
26029085,281362771,0,True,trunk_link,,186.565,1,,,,,,,,,,242668082,
26029622,26028750,0,True,primary,South Mathilda Avenue,17.911,5,,,35 mph,,,,,,,61133261,
26029622,26630563,0,True,primary,West El Camino Real,141.92,3,,,40 mph,,,,,,,341031084,CA 82
26029629,26027688,0,False,tertiary,Maria Lane,15.929,,,,,,,,,,,8954331,
26029629,4167747523,0,True,primary,East El Camino Real,134.303,"['3', '4']",,,40 mph,,,,,,,"[415822979, 415822951]",CA 82
26029630,26027690,0,True,secondary,South Wolfe Road,21.595,,,,,,,,,,,263727860,
26029630,26029632,0,True,primary,East El Camino Real,176.255,3,,,40 mph,,,,,,,312681611,CA 82
26029632,287231881,0,True,primary,East El Camino Real,168.779,3,,,40 mph,,,,,,,417044142,CA 82
26029671,287229710,0,True,trunk,Central Expressway,214.18,2,,,50 mph,,,,,,,255143234,G6
26029674,26029675,0,True,trunk,Central Expressway,68.562,3,,,50 mph,,,,,,,30037246,G6
26029675,5288682199,0,True,trunk,Central Expressway,156.683,2,,,50 mph,,,,,,,288923338,G6
26030097,26030108,0,True,primary,South Mathilda Avenue,17.304,5,,,35 mph,,,,,,,341031075,
26030097,191692186,0,True,primary,West El Camino Real,354.1,"['5', '3']",,,40 mph,,,,,,,"[311338590, 341031103]",CA 82
26030108,26029622,0,True,primary,West El Camino Real,16.305,5,,,40 mph,,,,,,,184388722,CA 82
