u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
54126276,54126277,0,False,residential,Centaur Court,37.08,,,,,,,,,,,6992788,
54126276,54430225,0,False,residential,Agena Street,108.178,,,,,,,,,,,7159219,
54126276,54289704,0,False,residential,Agena Street,148.685,,,,,,,,,,,7159219,
54126277,54126276,0,False,residential,Centaur Court,37.08,,,,,,,,,,,6992788,
54140743,1534830618,0,True,motorway_link,,26.912,1,,,,,,,,,,6999725,
54140743,838206124,0,True,primary,Temecula Parkway,38.005,5,,,,,,,,,,140771222,CA 79
54141907,54303219,0,False,residential,Santa Cecilia Drive,72.453,,,,,,,,,,,7087120,
54141907,844296748,0,False,residential,Santa Cecilia Drive,60.245,,,,,,,,,,,7087120,
54141907,54439644,0,False,residential,Carino Place,193.99,,,,,,,,,,,"[7000331, 7164366]",
54172620,2474042886,0,False,tertiary,North General Kearny Road,12.477,,,,,,,,,,,7209848,
54172620,54511036,0,False,tertiary,North General Kearny Road,177.021,,,,,,,,,,,7209848,
54172620,2474373473,0,True,secondary,Margarita Road,282.457,,,,45 mph,,,,,,,166122443,
54174284,54184748,0,False,residential,Parducci Lane,107.601,,,,,,,,,,,7022096,
54174284,54601831,0,False,secondary,Meadows Parkway,305.927,,,,,,,,,,,7292011,
54174284,1289875229,0,False,secondary,Meadows Parkway,205.069,5,,,45 mph,,,,,,,7292064,
54184748,54174284,0,False,residential,Parducci Lane,107.601,,,,,,,,,,,7022096,
54184748,54375986,0,False,tertiary,Promenade Chardonnay Hills,109.463,,,,25 mph,,,,,,,86473289,
54184748,54399233,0,False,tertiary,Promenade Chardonnay Hills,114.132,,,,25 mph,,,,,,,86473289,
54184902,54435398,0,False,residential,South General Kearny Road,51.292,,,,,,,,,,,7341393,
54184902,705654735,0,False,residential,South General Kearny Road,63.695,,,,,,,,,,,7341400,
54184902,2357655034,0,False,secondary,La Serena Way,338.096,,,,,,,,,,,78102142,
54184902,54428681,0,False,secondary,La Serena Way,350.483,,,,,,,,,,,78102142,
54186041,54348563,0,False,residential,Via Benabarre,312.518,,,,,,,,,,,7113394,
54186041,54307458,0,False,residential,"['Camino Veste', 'Camino Guarda']",273.464,,,,25 mph,,,,,,,"[7229680, 114978005]",
