u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
20400052,123374234,0,False,residential,Vista del Parque,12.221,,,,,,,,,,,13407431,
20400052,123591646,0,True,primary,Pacific Coast Highway,224.591,,,,,,,,,,,"[241522512, 398512794, 241522508, 398512784]",CA 1
20400258,2491363277,0,True,residential,Robert Road,10.997,,,,,,,,,,,32573889,
20400258,366394374,0,True,primary,Pacific Coast Highway,53.925,2,,,,,,,,,,379539439,CA 1
21098505,3830436628,0,True,primary,South Western Avenue,26.694,4,,,,,,,,,,379716512,CA 213
21098505,1776222319,0,True,primary,Torrance Boulevard,35.626,3,,,,,,,,,,398362352,
21098508,588229811,0,False,tertiary,Maple Avenue,19.5,4,,,,,,,,,,46143400,
21098508,123015263,0,False,tertiary,Maple Avenue,22.343,3,,,,,,,,,,398052182,
21098508,588229853,0,False,primary,Torrance Boulevard,499.326,"['6', '5', '4']",,,,,,,,,,"[398052202, 398052197, 379736845]",
21098508,493888191,0,False,primary,Torrance Boulevard,462.773,"['6', '5', '7', '4']",,,,,,,,,,"[398052192, 403674753, 403674754, 403674755, 379708771, 398052186, 398052187]",
21098519,1840735109,0,False,residential,Ainsworth Street,220.276,,,,,,,,,,,29200674,
21098519,123437404,0,False,residential,West 168th Street,87.166,,,,,,,,,,,166148157,
21098521,122621625,0,False,residential,Ainsworth Street,11.897,,,,,,,,,,,29200674,
21098521,1840735106,0,False,residential,Ainsworth Street,86.432,,,,,,,,,,,29200674,
21098521,321206152,0,True,primary,Artesia Boulevard,148.827,"['3', '2']",,,,,,,,,,"[398238211, 398238213]",
36180463,122691451,0,False,residential,Atkinson Avenue,14.556,,,,,,,,,,,13298915,
36180463,122691449,0,False,residential,Atkinson Avenue,254.505,,,,,,,,,,,13298915,
36180463,321198727,0,True,primary,Artesia Boulevard,103.848,"['2', '4']",,,,,,,,,,"[379554288, 400023768]",
36180467,123098856,0,False,residential,Glenburn Avenue,11.42,,,,,,,,,,,166148147,
36180467,123057668,0,False,residential,Glenburn Avenue,255.934,,,,,,,,,,,166148147,
36180467,321198731,0,True,primary,Artesia Boulevard,445.556,"['3', '2', '4']",,,,,,,,,,"[398238217, 400023757, 398238222]",
36180479,1969288983,0,True,primary,Hawthorne Boulevard,63.373,4,,,,,,,,,,379773988,CA 107
