u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
14840398,1846221728,0,True,motorway,Santa Ana Freeway,229.84,6,,,65 mph,,,,,,,32150699,I 5
14840398,360955073,0,True,motorway_link,,415.473,,,,,,,,,,,"[406492408, 406492406]",
16587530,360957935,0,True,motorway,Costa Mesa Freeway,241.129,4,,,65 mph,,,,,,,4987263,CA 55
26666201,32277643,0,True,motorway_link,,1163.848,,,,,,,yes,,,,"[122154730, 23713198, 172190799]",
26666201,1884950508,0,True,motorway,Costa Mesa Freeway,359.484,"['5', '4']",,,65 mph,,,,,,,"[123480796, 123480799]",CA 55
33088761,331374726,0,True,trunk_link,,378.835,,,,,,,,,,spui,"[30085864, 406450945]",
33088849,1846216474,0,True,motorway,Santa Ana Freeway,161.533,6,,,65 mph,,,,,,,32144469,I 5
33088849,3581089824,0,True,motorway_link,,553.017,,,,,,,,,,,"[406493512, 406493505, 406493506, 32144572]",
33088857,318069335,0,True,motorway,Santa Ana Freeway,860.574,6,,,,,,yes,,,,"[32150696, 32150697, 32150982]",I 5
33088863,360957274,0,True,motorway,Santa Ana Freeway,244.833,6,,,,,,,,,,32150697,I 5
33088863,360960321,0,True,motorway_link,,497.637,,,,,,,,,,,4987287,
54268206,122645543,0,False,secondary,McFadden Avenue,171.445,,,,,,,,,,,"[405501674, 405501678, 184596237, 405501670]",
122560373,122560374,0,False,residential,Bennett,45.54,,,,,,,,,,,13279021,
122560373,123027567,0,False,residential,"['Bennett', 'Lambert']",171.805,,,,,,,,,,,"[13279021, 13359583]",
122560373,2050441614,0,False,residential,Township Drive,140.667,,,,,,,,,,,13308871,
122560373,122751996,0,False,residential,Township Drive,242.339,,,,,,,,,,,13308871,
122560374,122560373,0,False,residential,Bennett,45.54,,,,,,,,,,,13279021,
122560374,122800157,0,False,residential,Hermon Drive,32.038,,,,,,,,,,,13337749,
122560374,122918587,0,False,residential,Hermon Drive,40.797,,,,,,,,,,,13337749,
122568958,360955073,0,False,secondary,Red Hill Avenue,83.388,6,,,50,,,,,,,170002692,
122568958,122736509,0,False,secondary,Red Hill Avenue,63.998,,,,50,,,,,,,"[405386873, 405386876]",
122568958,33088857,0,True,motorway_link,,332.749,,,,,,,,,,,"[406492402, 32151051]",
122569423,783523861,0,True,primary,Sycamore Avenue,138.743,,,,,,,,,,,"[63035673, 405499079]",
122569423,122731012,0,False,tertiary,Newport Avenue,102.591,5,,,,,,,,,,"[405499064, 184596238]",
122569423,122694642,0,False,tertiary,Sycamore Avenue,252.527,,,,,,,,,,,"[63035672, 405499082, 405499085]",
122569423,122720378,0,True,primary,Newport Avenue,140.928,,,,,,,,,,,"[405517285, 405517263]",
122569426,783523861,0,False,secondary,Pasadena Avenue,13.643,,,,,,,,,,,391158988,
122569426,122569423,0,True,primary,Sycamore Avenue,134.51,2,,,,,,,,,,172605915,
122570495,122736498,0,True,primary,Newport Avenue,105.666,,,,,,,,,,,"[405517291, 405517269]",
122570495,2897708524,0,True,motorway_link,,20.459,,,,,,,,,,,405519960,
122572432,122572435,0,False,residential,,8.735,,,,,,,,,,,13280441,
122572432,1897662999,0,False,residential,Hazel Road,35.232,,,,,,,,,,,13344217,
122572432,1897662983,0,False,residential,Hazel Road,45.356,,,,,,,,,,,13344217,
122572435,122572432,0,False,residential,,8.735,,,,,,,,,,,13280441,
122582018,122582024,0,False,residential,,37.211,,,,,,,,,,,13281566,
122582018,122739325,0,False,tertiary,Auto Center Drive,168.803,,,,,,,,,,,"[405494032, 13306490, 405494027]",
122582018,122739315,0,False,tertiary,Auto Center Drive,83.33,,,,,,,,,,,"[13306490, 405494028]",
122582024,122582018,0,False,residential,,37.211,,,,,,,,,,,13281566,
122585726,122585710,0,True,motorway,Costa Mesa Freeway,325.726,6,,,65 mph,,,,,,,34580251,CA 55
122587419,4076990814,0,True,motorway_link,,15.101,,,,,,,,,,,172606129,
122587419,4076988587,0,True,secondary,Irvine Boulevard,70.782,,,,,,,,,,,"[405505789, 405505805, 231775157]",
122595686,122876848,0,False,tertiary,Heritage Way,46.902,,,,,,,,,,,13329657,
122595686,3211898012,0,False,residential,,351.402,,,,,,,,,,,13283305,
122595686,122614512,0,False,tertiary,Heritage Way,225.13,,,,,,,,,,,13329657,
122595986,122595987,0,False,residential,,83.855,,,,,,,,,,,13283343,
122595986,122670340,0,False,tertiary,Robinson Drive,144.196,,,,,,,,,,,"[405494054, 13308487]",
122595986,122749788,0,False,tertiary,Robinson Drive,401.151,,,,,,,,,,,"[405494052, 13308487]",
122595987,122595986,0,False,residential,,83.855,,,,,,,,,,,13283343,
122595987,122595987,0,False,residential,,582.252,,,,,,,,,,,13284300,
122595987,122595987,1,False,residential,,582.252,,,,,,,,,,,13284300,
122601665,122614512,0,False,residential,,52.82,,,,,,,,,,,13287321,
122604205,122611681,0,False,residential,,23.659,,,,,,,,,,,13286876,
122604205,122604205,0,False,residential,,316.017,,,,,,,,,,,13285387,
122604205,122604205,1,False,residential,,316.017,,,,,,,,,,,13285387,
122608353,122608355,0,False,residential,,84.778,,,,,,,,,,,13286275,
122608353,122648283,0,False,secondary,Bryan Avenue,79.086,2,,,,,,,,,,405479195,
122608353,122608362,0,False,secondary,Bryan Avenue,64.148,2,,,,,,,,,,"[405479195, 73768155]",
122608355,122608353,0,False,residential,,84.778,,,,,,,,,,,13286275,
122608362,122648282,0,False,secondary,Bryan Avenue,42.438,2,,,,,,,,,,73768155,
122608362,4056610432,0,False,residential,,243.907,,,,,,,,,,,13286282,
122608362,122608353,0,False,secondary,Bryan Avenue,64.148,2,,,,,,,,,,"[405479195, 73768155]",
122610208,122708051,0,True,primary,East 17th Street,63.236,,,,,,,,,,,"[405517183, 405517191]",
122610208,783609302,0,True,motorway_link,,21.338,,,,,,,,,,,405519983,
122610710,122610713,0,False,residential,,24.415,,,,,,,,,,,13286717,
122610710,123087984,0,False,residential,Duroy Court,29.843,,,,,,,,,,,13368122,
122610710,122987428,0,False,residential,Duroy Court,36.553,,,,,,,,,,,13368122,
122610713,122610710,0,False,residential,,24.415,,,,,,,,,,,13286717,
122611328,122878181,0,False,residential,Poppy Drive,42.779,,,,,,,,,,,"[13286805, 13329847]",
122611681,122604205,0,False,residential,,23.659,,,,,,,,,,,13286876,
122611681,4076875368,0,False,tertiary,Auto Center Drive,156.579,,,,,,,,,,,"[406499573, 406499575]",
122611681,122739325,0,False,tertiary,Auto Center Drive,123.745,,,,,,,,,,,"[406499572, 406499575]",
122613182,122613185,0,False,residential,,24.716,,,,,,,,,,,13287142,
122613182,1897664745,0,False,residential,,9.376,,,,,,,,,,,179394551,
122613182,122878184,0,False,residential,Poppy Drive,51.213,,,,,,,,,,,13329847,
122613185,122613182,0,False,residential,,24.716,,,,,,,,,,,13287142,
122614512,122601665,0,False,residential,,52.82,,,,,,,,,,,13287321,
122614512,122595686,0,False,tertiary,Heritage Way,225.13,,,,,,,,,,,13329657,
122614512,122876836,0,False,tertiary,Heritage Way,127.533,,,,,,,,,,,13329657,
122617695,122741153,0,False,residential,Ardenwood Court,35.49,,,,,,,,,,,13287943,
122617695,122743649,0,False,residential,South Gamble Court,19.903,,,,,,,,,,,13352775,
122617695,122849711,0,False,residential,Gamble Drive,23.351,,,,,,,,,,,13373574,
122618674,2240421167,0,False,residential,Montego Way,192.17,,,,,,,,,,,13348044,
122618695,122693050,0,False,residential,Townhouse Drive,135.586,,,,,,,,,,,13365261,
122619598,3011654083,0,True,motorway_link,,182.322,,,,,,,,,,,"[405519956, 405519948]",
122619600,122570495,0,True,primary,Newport Avenue,91.82,,,,,,,,,,,405517291,
122619600,122694647,0,False,residential,Nisson Road,240.48,,,,,,,,,,,13345396,
122620078,122620080,0,False,residential,,63.6,,,,,,,,,,,13288371,
122620078,122880087,0,False,residential,Colonial,42.057,,,,,,,,,,,13343536,
122620078,122993653,0,False,tertiary,Greenway Drive,131.141,,,,,,,,,,,13351104,
122620078,2503200018,0,False,tertiary,Greenway Drive,129.244,,,,,,,,,,,13351104,
122620080,122620078,0,False,residential,,63.6,,,,,,,,,,,13288371,
122620080,3625736927,0,False,residential,Ternberry Court,73.3,,,,,,,,,,,13344018,
122620080,122757924,0,False,residential,Ternberry Court,94.881,,,,,,,,,,,13344018,
122622233,3625771211,0,False,residential,Baugh Drive,30.389,,,,,,,,,,,13321227,
122622233,123012633,0,False,residential,Cardinal Drive,63.254,,,,,,,,,,,13372733,
122622233,122622237,0,False,residential,Stephenson Place,39.847,,,,,,,,,,,13288696,
122622237,122622233,0,False,residential,Stephenson Place,39.847,,,,,,,,,,,13288696,
122624227,122624229,0,False,residential,South C Street,88.24,,,,,,,,,,,13289004,
122624229,122624227,0,False,residential,South C Street,88.24,,,,,,,,,,,13289004,
122624229,2897708522,0,False,tertiary,Mitchell Avenue,97.244,,,,,,,,,,,"[405499051, 405499060]",
122624229,122945097,0,False,tertiary,Mitchell Avenue,39.987,,,,,,,,,,,405499060,
122624235,4076970303,0,False,residential,North C Street,12.954,,,,,,,,,,,13352944,
122624235,122624237,0,False,residential,South C Street,168.761,,,,,,,,,,,13289008,
122624235,122736485,0,True,secondary,West 1st Street,115.945,,,,,,,,,,,"[405504266, 405504261]",
122624237,122624238,0,False,residential,South C Street,112.303,,,,,,,,,,,13289008,
122624237,122624235,0,False,residential,South C Street,168.761,,,,,,,,,,,13289008,
122624237,122736488,0,False,residential,West 2nd Street,115.864,,,,,,,,,,,13368375,
122624238,122624240,0,False,residential,South C Street,114.442,,,,,,,,,,,13289008,
122624238,122624237,0,False,residential,South C Street,112.303,,,,,,,,,,,13289008,
122624238,122736491,0,False,residential,West 3rd Street,115.45,,,,,,,,,,,13367013,
122624240,5610225181,0,False,residential,C Street,49.059,,,,,,,,,,,13364312,
122624240,122624238,0,False,residential,South C Street,114.442,,,,,,,,,,,13289008,
122624240,122736493,0,False,tertiary,West Main Street,115.442,,,,,,,,,,,"[405499104, 405499137, 405499124]",
122624240,122945073,0,False,tertiary,West Main Street,111.633,,,,,,,,,,,"[405499112, 405499128, 405499150]",
122624514,122624524,0,False,residential,Mathews Drive,127.788,,,,,,,,,,,13289034,
122624514,122711226,0,False,residential,"['Hiskey Lane', 'Matthews Drive']",451.235,,,,,,,,,,,"[13355634, 13302236]",
122624514,1951380403,0,False,residential,Orchard Drive,51.29,,,,,,,,,,,410047237,
122624514,123020120,0,False,residential,Orchard Drive,93.81,,,,,,,,,,,410047237,
122624524,122624514,0,False,residential,Mathews Drive,127.788,,,,,,,,,,,13289034,
