u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
653827,417998885,0,True,motorway,San Bernardino Freeway,275.132,5,,,65 mph,,,,,,,37890815,I 10
32599461,32599467,0,True,motorway,San Bernardino Freeway,529.168,4,,,65 mph,,,yes,,,,"[44225856, 44225864, 44225863]",I 10
32599467,32599468,0,True,motorway,San Bernardino Freeway,257.682,4,,,65 mph,,,,,,,44225864,I 10
32599468,417999722,0,True,motorway,San Bernardino Freeway,224.495,4,,,65 mph,,,,,,,44225864,I 10
32599474,562648940,0,True,motorway_link,,386.561,,,,,,,,,,,"[35724433, 402429531, 402429527]",
32599474,417994875,0,True,motorway,San Bernardino Freeway,431.947,4,,,65 mph,,,yes,,,,"[37890816, 44278969, 44278968]",I 10
32599486,122633790,0,True,motorway_link,,396.405,,,,,,,yes,,,,"[37891123, 35717634, 402532523, 37891124]",
32599486,563340642,0,True,motorway,San Bernardino Freeway,532.494,4,,,65 mph,,,yes,,,,"[37891120, 37891121, 44334710, 44335611, 44335612]",I 10
122379038,122776781,0,False,residential,West Sago Palm,28.364,,,,,,,,,,,13312760,
122379038,122580122,0,False,residential,West Robindale Street,36.234,,,,,,,,,,,13461519,
122379038,1901753435,0,False,residential,West Robindale Street,21.251,,,,,,,,,,,13461512,
122379039,1901753435,0,False,residential,Wren Way,37.844,,,,,,,,,,,13254879,
122379039,635693092,0,False,residential,"['Sandpiper Street', 'Sparrow Lane', 'Wren Way']",172.53,,,,,,,,,,,"[13385533, 13443629, 13254879]",
122379039,1986357172,0,False,residential,"['Swallow Glen', 'Blue Jay Circle']",150.016,,,,,,,,,,,"[13354936, 13413253]",
122394845,773769594,0,False,residential,South Monte Verde Street,32.0,,,,,,,,,,,13466583,
122394845,122950136,0,False,residential,East Garvey Avenue South,348.021,,,,,,,,,,,13447685,
122394845,123613176,0,False,residential,East Garvey Avenue South,125.979,,,,,,,,,,,13447685,
122394855,418005853,0,False,tertiary,East Holt Avenue,13.725,,,,,,,,,,,44225857,
122394855,418003300,0,True,motorway_link,,441.508,,,,,,,,,,,13256249,
122394855,123613176,0,False,tertiary,East Holt Avenue,62.988,,,,,,,,,,,"[44283480, 405191687]",
122400417,417994968,0,True,secondary,Citrus Street,131.309,,,,,,,,,,,209858867,
122400420,562648905,0,False,secondary,East Garvey Avenue South,22.897,,,,,,,,,,,44281408,
122400420,122400417,0,True,secondary_link,,96.704,,,,,,,,,,,13256822,
122400420,2200187819,0,False,secondary,East Garvey Avenue South,56.98,,,,,,,,,,,35735229,
122403923,123140756,0,False,residential,East Mardina Street,198.562,,,,,,,,,,,13469317,
122403923,636566886,0,False,residential,,43.802,,,,,,,,,,,13257319,
122403923,122749147,0,False,residential,"['North Mardina Street', 'East Mardina Street']",238.349,,,,,,,,,,,"[13308364, 13469317]",
122429948,122429951,0,False,residential,San Bernardino Road,75.747,,,,,,,,,,,13262399,
122429948,373593487,0,False,residential,San Bernardino Road,77.074,,,,,,,,,,,13262399,
122429948,530965311,0,False,residential,,123.066,,,,,,,,,,,13265092,
122429951,3342966861,0,False,residential,San Bernardino Road,7.163,,,,,,,,,,,13262399,
122429951,122429948,0,False,residential,San Bernardino Road,75.747,,,,,,,,,,,13262399,
122429951,373593487,0,False,residential,,540.239,,,,,,,,,,,"[13262400, 13262620, 13265093]",
122438358,4048341278,0,True,motorway_link,,13.429,,,,,,,,,,,402464058,
122438358,5226234759,0,True,primary,Grand Avenue,236.111,"['3', '2']",,,,,,,,,,"[402417803, 402417812]",
122444817,4048341282,0,False,motorway_link,,13.901,,,,,,,,,,,35726348,
122444817,122922708,0,True,primary,Grand Avenue,111.856,"['3', '2']",,,,,,,,,,"[41521969, 402417804]",
122467413,562648904,0,False,secondary,East Garvey Avenue South,9.576,,,,,,,,,,,44281405,
122467413,562648905,0,False,secondary,East Garvey Avenue South,37.099,,,,,,,,,,,44281410,
122480287,2200187848,0,True,secondary,Citrus Street,124.47,,,,,,,,,,,44296116,
122486978,562627325,0,False,tertiary,East Garvey Avenue South,35.762,,,,,,,,,,,44278959,
122486978,445203274,0,True,motorway_link,,36.856,,,,,,,,,,,13269521,
122486978,562627312,0,False,secondary,East Garvey Avenue South,60.52,,,,,,,,,,,"[402435898, 44278958]",
122491517,472535117,0,False,secondary,West Garvey Avenue North,86.405,,,,,,,,,,,13270115,
122491517,122627819,0,False,tertiary,West Garvey Avenue North,238.331,,,,,,,yes,,,,"[39453418, 181425683, 39453419]",
122491519,472535117,0,False,secondary,West Garvey Avenue North,43.764,,,,,,,,,,,181425682,
122491519,122634528,0,False,secondary,"['North Sunset Avenue', 'Sunset Avenue']",210.868,,,,,,,,,,,"[13332324, 402500932, 402500933, 13353078]",
122491519,122891746,0,True,secondary,North Sunset Avenue,130.487,,,,,,,,,,,"[402501578, 402500934]",
122507732,122507735,0,False,residential,,98.234,,,,,,,,,,,13272531,
122507732,122927566,0,False,residential,East Garvey Avenue South,49.603,,,,,,,,,,,13447685,
122507732,123483784,0,False,residential,East Garvey Avenue South,57.19,,,,,,,,,,,13447685,
122507735,122507732,0,False,residential,,98.234,,,,,,,,,,,13272531,
122510076,417988849,0,True,primary,South Azusa Avenue,76.629,3,,,,,,,,,,44296119,N8
122510076,1918565493,0,True,motorway_link,,426.627,,,,,,,,,,,13272893,
122510604,123401516,0,False,residential,Poxon Place,7.674,,,,,,,,,,,13411163,
122524665,122733199,0,False,residential,North Carvol Avenue,37.15,,,,,,,,,,,13413643,
122534682,2251189095,0,False,residential,,13.051,,,,,,,,,,,13275990,
