u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
122379421,122379423,0,False,residential,Windsor Avenue,21.258,,,,,,,,,,,13254924,
122379421,122990566,0,False,residential,Claridge Place,62.992,,,,,,,,,,,13424294,
122379421,123167505,0,False,residential,"['Burlington Place', 'Windsor Avenue']",177.707,,,,,,,,,,,"[13380689, 13254924]",
122379423,122379421,0,False,residential,Windsor Avenue,21.258,,,,,,,,,,,13254924,
122474271,1883390016,0,False,primary,Whittier Boulevard,19.09,4,,,,,,,,,,539416372,SR 72
122558939,122996527,0,False,residential,Camilla Street,101.016,,,,,,,,,,,13351696,
122558939,3220727126,0,False,residential,Hillside Lane,155.047,,,,,,,,,,,13278890,
122558939,122756066,0,False,residential,Camilla Street,246.277,,,,,,,,,,,13351696,
122558946,122558960,0,False,residential,Hillside Lane,403.125,,,,,,,,,,,13278892,
122558946,123406774,0,False,residential,Philadelphia Street,123.816,,,,,,,,,,,13435437,
122558946,123069022,0,False,residential,Philadelphia Street,85.342,,,,,,,,,,,13435437,
122558960,122558946,0,False,residential,Hillside Lane,403.125,,,,,,,,,,,13278892,
122558960,123095378,0,False,residential,"['Bryn Mawr Way', 'Worsham Drive']",137.158,,,,,,,,,,,"[13418408, 13369612]",
122558960,3706697262,0,False,residential,Worsham Drive,58.876,,,,,,,,,,,13418408,
122560701,122560704,0,False,residential,La Vela Avenue,106.139,,,,,,,,,,,13279061,
122560701,123238571,0,False,residential,Montevideo Drive,65.801,,,,,,,,,,,13416318,
122560701,123436967,0,False,residential,Montevideo Drive,61.337,,,,,,,,,,,13416318,
122560704,122560701,0,False,residential,La Vela Avenue,106.139,,,,,,,,,,,13279061,
122560715,122561554,0,False,residential,La Cuarta Street,120.166,,,,,,,,,,,207822668,
122560715,123014186,0,False,residential,La Cuarta Street,110.137,,,,,,,,,,,207822668,
122560715,122560720,0,False,residential,La Vela Avenue,222.762,,,,,,,,,,,13279064,
122560720,122560715,0,False,residential,La Vela Avenue,222.762,,,,,,,,,,,13279064,
122561551,122561554,0,False,residential,La Bajada Avenue,504.655,,,,,,,,,,,13279168,
122561551,4022697783,0,True,tertiary,Mar Vista Street,119.229,,,,,,,,,,,399538372,
122561551,123238559,0,False,tertiary,Mar Vista Street,229.178,"['3', '2']",,,,,,,,,,"[399538352, 399538373]",
122561554,123014188,0,False,residential,La Cuarta Street,119.187,,,,,,,,,,,207822668,
122561554,122560715,0,False,residential,La Cuarta Street,120.166,,,,,,,,,,,207822668,
122561554,122561551,0,False,residential,La Bajada Avenue,504.655,,,,,,,,,,,13279168,
122563553,122563558,0,False,residential,Mesagrove Avenue,158.532,,,,,,,,,,,13279375,
122563553,123000242,0,False,secondary,Beverly Boulevard,121.531,4,,,,,,,,,,58745750,
122563553,123000249,0,False,secondary,Beverly Boulevard,100.042,4,,,,,,,,,,58745750,
122563558,122563553,0,False,residential,Mesagrove Avenue,158.532,,,,,,,,,,,13279375,
122563558,123093400,0,False,residential,Sherrill Street,245.639,,,,,,,,,,,13369182,
122563558,122563566,0,False,residential,Mesagrove Avenue,260.983,,,,,,,,,,,13279375,
122563566,122563569,0,False,residential,Mesagrove Avenue,165.473,,,,,,,,,,,13279375,
122563566,122732017,0,False,residential,Orange Grove Avenue,98.489,,,,,,,,,,,13305171,
122563566,122563558,0,False,residential,Mesagrove Avenue,260.983,,,,,,,,,,,13279375,
122563566,122732015,0,False,residential,Orange Grove Avenue,188.734,,,,,,,,,,,13305171,
122563569,122563566,0,False,residential,Mesagrove Avenue,165.473,,,,,,,,,,,13279375,
122565328,122565330,0,False,residential,Lisco Street,200.254,,,,,,,,,,,13279586,
122565328,123410523,0,False,residential,Groveland Avenue,80.253,,,,,,,,,,,13458007,
122565328,122618638,0,False,residential,Groveland Avenue,84.453,,,,,,,,,,,13458007,
122565330,122565328,0,False,residential,Lisco Street,200.254,,,,,,,,,,,13279586,
122565330,122565332,0,False,residential,Lisco Street,95.444,,,,,,,,,,,13279586,
122565330,123410526,0,False,tertiary,1st Avenue,82.701,,,,,,,,,,,"[405008493, 405008486]",
122565330,122618641,0,False,tertiary,1st Avenue,82.88,,,,,,,,,,,"[405008498, 405008499, 405008495]",
122565332,123325086,0,False,residential,Bogardus Avenue,306.966,,,,,,,,,,,13409434,
122565332,122618599,0,False,residential,Bogardus Avenue,91.402,,,,,,,,,,,13409434,
122565332,122565333,0,False,residential,Lisco Street,82.409,,,,,,,,,,,13279586,
122565332,122565330,0,False,residential,Lisco Street,95.444,,,,,,,,,,,13279586,
122565333,122565334,0,False,residential,Lisco Street,80.301,,,,,,,,,,,13279586,
122565333,122791998,0,False,residential,Cullman Avenue,317.787,,,,,,,,,,,13315332,
122565333,122565332,0,False,residential,Lisco Street,82.409,,,,,,,,,,,13279586,
