u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
122561240,122761486,0,False,residential,Landig Circle,179.18,,,,,,,,,,,13310451,
122562262,1879703880,0,False,residential,Aviemore Drive,115.611,,,,,,,,,,,13325748,
122569278,122741676,0,False,residential,Paseo de la Cumbre,281.834,,,,,,,,,,,13306940,
122569278,122741672,0,False,residential,Paseo de la Cumbre,53.795,,,,,,,,,,,13306940,
122569278,1879703648,0,False,residential,Paseo del Retiro,406.573,,,,,,,,,,,13365972,
122570835,122570837,0,False,residential,,25.501,,,,,,,,,,,13280309,
122570835,122929821,0,False,residential,Winchester Lane,96.238,,,,,,,,,,,13339890,
122570835,122936448,0,False,residential,Saddletree Lane,234.044,,,,,,,,,,,13341311,
122570837,122570835,0,False,residential,,25.501,,,,,,,,,,,13280309,
122574332,122574336,0,False,residential,,51.128,,,,,,,,,,,13280655,
122574332,2268757049,0,False,residential,Summit Drive,28.815,,,,,,,,,,,13323482,
122574332,122839387,0,False,residential,Summit Drive,249.73,,,,,,,,,,,13323482,
122574336,122574332,0,False,residential,,51.128,,,,,,,,,,,13280655,
122583435,1879704136,0,False,residential,Green Crest Drive,355.802,,,,,,,,,,,13369032,
122583636,4083341634,0,True,secondary,Bastanchury Road,11.312,,,,35 mph,,,,,,,224013697,
122583636,4083317650,0,True,secondary,Village Center Drive,294.762,,,,,,,,,,,"[406231888, 406231883]",
122584329,122584332,0,False,residential,,18.691,,,,,,,,,,,13281886,
122584329,122608697,0,False,residential,Jamestown Drive,21.017,,,,,,,,,,,13357171,
122584329,123016384,0,False,residential,Jamestown Drive,160.171,,,,,,,,,,,13357171,
122584332,122584329,0,False,residential,,18.691,,,,,,,,,,,13281886,
122586683,123000286,0,False,secondary,Lakeview Avenue,13.588,4,,,,,,,,,,146245982,
122586683,123000281,0,False,secondary,Lakeview Avenue,80.739,4,,,,,,,,,,146245982,
122586683,4604041036,0,False,residential,North Lakeview Avenue,160.262,,,,,,,,,,,13352354,
122587188,4606925326,0,False,residential,Aspen Way,20.433,,,,,,,,,,,13354030,
122587188,122897058,0,False,residential,Willow Tree Lane,66.261,,,,,,,,,,,13333378,
122587188,1793967001,0,False,residential,Aspen Way,66.866,,,,,,,,,,,13354030,
122587568,122587570,0,False,residential,,137.243,,,,,,,,,,,13282345,
122587568,122930181,0,False,residential,Grandview Avenue,98.787,,,,,,,,,,,13339992,
122587568,122649139,0,False,residential,Grandview Avenue,99.562,,,,,,,,,,,13339992,
122587570,122587568,0,False,residential,,137.243,,,,,,,,,,,13282345,
122587629,122587637,0,False,residential,,72.696,,,,,,,,,,,13282348,
122587629,123113149,0,False,residential,Westvale Lane,53.335,,,,,,,,,,,13373220,
122587629,122649139,0,False,residential,Westvale Lane,113.993,,,,,,,,,,,13373220,
122587637,122587629,0,False,residential,,72.696,,,,,,,,,,,13282348,
122587968,122734962,0,False,residential,Brooklyn Avenue,199.928,,,,,,,,,,,13306406,
122587968,122626848,0,False,residential,Marda Avenue,301.558,,,,,,,,,,,"[13282408, 13289486]",
122587968,122738856,0,False,residential,Brooklyn Avenue,206.831,,,,,,,,,,,13306406,
122590877,1595260037,0,False,residential,Highland Avenue,108.047,,,,,,,,,,,"[13282756, 13282229]",
122591624,122817428,0,False,residential,Mountain View Place,102.888,,,,,,,,,,,"[13363849, 13282898]",
122592302,122857975,0,False,residential,Highland Avenue,54.177,,,,,,,,,,,13326559,
122592302,122592306,0,False,residential,,71.349,,,,,,,,,,,13282983,
122592302,122858014,0,False,residential,Highland Avenue,625.658,,,,,,,,,,,"[146245976, 13326559]",
122592306,122592302,0,False,residential,,71.349,,,,,,,,,,,13282983,
122593015,122593020,0,False,residential,,83.176,,,,,,,,,,,13283078,
122593015,123027318,0,False,residential,Oriente Drive,105.836,,,,,,,,,,,13357807,
122593015,122886172,0,False,residential,Oriente Drive,294.755,,,,,,,,,,,13357807,
122593020,122593015,0,False,residential,,83.176,,,,,,,,,,,13283078,
122596508,122931431,0,False,residential,Copper Canyon Road,139.615,,,,,,,,,,,13340248,
122596508,122705117,0,False,tertiary,Via Lomas De Yorba West,239.894,,,,,,,,,,,"[96023577, 405540316]",
122596508,122705093,0,False,tertiary,Via Lomas De Yorba West,348.561,,,,,,,,,,,96023577,
122597577,122919149,0,False,residential,Summerwood Lane,131.53,,,,,,,,,,,13337865,
122597577,122649113,0,False,tertiary,Buena Vista Avenue,178.903,,,,,,,,,,,"[405551394, 146245972]",
122597577,122649111,0,False,tertiary,Buena Vista Avenue,46.294,,,,,,,,,,,"[146245972, 405510343]",
122597752,123019232,0,False,residential,"['Lomita Lane', 'Mesita Way']",132.579,,,,,,,,,,,"[13362897, 13368293]",
122599905,122599908,0,False,residential,,98.41,,,,,,,,,,,13284271,
122599905,122945188,0,False,tertiary,Lakeview Avenue,31.136,,,,,,,,,,,218014779,
122599905,122890301,0,False,tertiary,Lakeview Avenue,54.418,,,,,,,,,,,218014779,
122599908,122599905,0,False,residential,,98.41,,,,,,,,,,,13284271,
122600818,122600823,0,False,residential,,36.171,,,,,,,,,,,13284475,
122600823,122600827,0,False,residential,,32.591,,,,,,,,,,,13284475,
122600823,122600818,0,False,residential,,36.171,,,,,,,,,,,13284475,
122600823,122841890,0,False,residential,Tiki Torch Lane,155.134,,,,,,,,,,,13323976,
122600827,122600823,0,False,residential,,32.591,,,,,,,,,,,13284475,
122601813,122601816,0,False,residential,,147.265,,,,,,,,,,,13284728,
122601813,122817420,0,False,residential,Mountain View Avenue,20.076,,,,,,,,,,,13319714,
122601813,122817419,0,False,residential,Mountain View Avenue,61.066,,,,,,,,,,,13319714,
122601816,122601813,0,False,residential,,147.265,,,,,,,,,,,13284728,
122602154,123060139,0,False,residential,Eureka Avenue,69.668,,,,,,,,,,,320119842,
122602154,122843676,0,False,residential,Eureka Avenue,12.034,,,,,,,,,,,320119842,
122602154,122665163,0,False,residential,Ranch Drive,217.413,,,,,,,,,,,"[13295109, 13284831]",
122604040,122761103,0,False,residential,Pacific Avenue,120.257,,,,,,,,,,,13329884,
122605703,323817043,0,False,secondary,Gypsum Canyon Road,630.006,4,,,45 mph,,,yes,,,,"[29401027, 29401028, 406436726]",
122605703,122605705,0,True,secondary,Gypsum Canyon Road,22.793,2,,,45 mph,,,,,,,67605248,
122605705,1832791505,0,True,motorway_link,,514.52,,,,,,,,,,,13285616,
122608697,122608700,0,False,residential,,18.165,,,,,,,,,,,13286384,
122608697,122584329,0,False,residential,Jamestown Drive,21.017,,,,,,,,,,,13357171,
122608697,123016375,0,False,residential,Jamestown Drive,135.359,,,,,,,,,,,"[13357171, 13357172]",
122608700,122608697,0,False,residential,,18.165,,,,,,,,,,,13286384,
122611774,122621791,0,False,residential,Via del Caballo,181.034,,,,,,,,,,,13288634,
122612662,2922616227,0,False,residential,Los Angeles Street,17.29,,,,,,,,,,,511819882,
122612662,2181859213,0,True,primary,Imperial Highway,28.343,3,,,50 mph,,,,,,,511819883,CA 90
122619067,4598599608,0,False,residential,Palm Avenue,34.619,,,,,,,,,,,13372656,
122620458,122620465,0,False,residential,Avenida Adobe,236.041,,,,,,,,,,,13288423,
122620458,122758398,0,False,residential,Avenida Antigua,78.818,,,,,,,,,,,13309986,
122620458,122758385,0,False,residential,Avenida Antigua,148.496,,,,,,,,,,,13309986,
122620465,2453732712,0,False,residential,Avenida Adobe,51.481,,,,,,,,,,,13288423,
122620465,122620458,0,False,residential,Avenida Adobe,236.041,,,,,,,,,,,13288423,
122620465,122669346,0,False,residential,Calle Sonora,183.504,,,,,,,,,,,13306529,
122620470,2453732715,0,False,residential,Avenida Adobe,51.518,,,,,,,,,,,13288423,
