u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
92794873,92794876,0,False,residential,Lewis Avenue,224.105,,,,,,,,,,,10610330,
92794873,92825974,0,False,residential,Maple Avenue,42.724,,,,,,,,,,,10612837,
92794873,92825963,0,False,residential,Maple Avenue,140.621,,,,,,,,,,,10612837,
92794876,92794879,0,False,residential,Lewis Avenue,83.052,,,,,,,,,,,10610330,
92794876,92794873,0,False,residential,Lewis Avenue,224.105,,,,,,,,,,,10610330,
92794876,92825963,0,False,residential,"['Butte Street', 'Bird Street']",369.743,,,,,,,,,,,"[47172780, 10612885]",
92794879,92794876,0,False,residential,Lewis Avenue,83.052,,,,,,,,,,,10610330,
92794879,92820278,0,False,tertiary,Clark Avenue,219.088,2,,,,,,,,,,151294877,
92794879,92820276,0,False,tertiary,Clark Avenue,180.262,2,,,,,,,,,,151294877,
92794887,92794889,0,False,residential,Saint John Court,88.7,,,,,,,,,,,10610333,
92794887,92834250,0,False,residential,Tracy Drive,80.969,,,,,,,,,,,10613748,
92794887,92835013,0,False,residential,Tracy Drive,99.208,,,,,,,,,,,10613748,
92794889,92794887,0,False,residential,Saint John Court,88.7,,,,,,,,,,,10610333,
92794893,92794894,0,False,tertiary,Tharp Road,272.886,,,,,,,,,,,10610335,
92794893,336227342,0,False,tertiary,Tharp Road,142.179,,,,,,,,,,,10610335,
92794893,92834515,0,False,tertiary,Lassen Boulevard,293.379,4,,,,,,,,,,10613688,
92794893,92827322,0,False,tertiary,Lassen Boulevard,273.824,4,,,,,,,,,,10613688,
92794894,92794893,0,False,tertiary,Tharp Road,272.886,,,,,,,,,,,10610335,
92794894,92827325,0,False,unclassified,Sierra Avenue,274.426,,,,,,,,,,,10613206,
92794894,92794897,0,True,tertiary,Tharp Road,133.065,,,,,,,,,,,432827125,
92794897,4317788851,0,True,trunk,Colusa Highway,15.809,2,,,55 mph,,,,,,,432827106,CA 20
92794897,92823132,0,False,primary,Colusa Highway,390.39,4,,,45 mph,,,,,,,432827105,CA 20
92794897,4317790120,0,True,tertiary,Tharp Road,144.545,,,,,,,,,,,432827125,
92794901,336213765,0,False,tertiary,Tharp Road,438.144,3,,,,,,,,,,432975455,
92794901,92823143,0,False,unclassified,Poole Boulevard,391.313,,,,,,,,,,,10614255,
92794901,4317790120,0,False,tertiary,Tharp Road,205.607,3,,,,,,,,,,"[432827126, 432975454]",
92794904,4317790086,0,False,secondary,Butte House Road,12.378,4,,,,,,,,,,150992942,
92794904,92822321,0,False,secondary,Butte House Road,79.199,4,,,,,,,,,,150992942,
92794909,92827473,0,False,tertiary,Bridge Street,86.292,2,,,,,,,,,,151294851,
92794909,92827473,1,False,residential,"['Deerfield Drive', 'Tharp Road', 'Willowbrook Drive']",494.861,,,,,,,,,,,"[10610336, 10613666, 10613352]",
