u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
86376322,86404974,0,False,residential,,29.529,,,,,,,,,,,10289228,
86376322,86376322,0,False,residential,,104.495,,,,,,,,,,,10287816,
86376322,86376322,1,False,residential,,104.495,,,,,,,,,,,10287816,
86400884,86483345,0,False,tertiary,West Biggs Gridley Road,103.236,,,,,,,,,,,10295966,
86400884,86595199,0,False,tertiary,"['B Street', 'West Biggs Gridley Road']",169.454,,,,,,,,,,,"[10297043, 10295966]",
86400884,86605915,0,False,residential,Aleut Street,96.444,,,,,,,,,,,10297478,
86400890,86400892,0,False,residential,,155.692,,,,,,,,,,,10289005,
86400890,86468461,0,False,residential,2nd Street,26.076,,,,,,,,,,,10292142,
86400890,86468458,0,False,residential,2nd Street,71.448,,,,,,,,,,,10292142,
86400892,86400890,0,False,residential,,155.692,,,,,,,,,,,10289005,
86404974,86376322,0,False,residential,,29.529,,,,,,,,,,,10289228,
86404974,86468477,0,False,residential,2nd Street,32.045,,,,,,,,,,,10292142,
86404974,86468475,0,False,residential,2nd Street,41.858,,,,,,,,,,,10292142,
86419315,86419318,0,False,residential,F Street,69.013,,,,,,,,,,,10290235,
86419315,86518329,0,False,residential,"['10th Street', 'G Street']",170.063,,,,,,,,,,,"[10298496, 10297169]",
86419315,86504886,0,False,residential,10th Street,195.121,,,,,,,,,,,10298496,
86419318,86419315,0,False,residential,F Street,69.013,,,,,,,,,,,10290235,
86419318,86518329,0,False,residential,9th Street,101.436,,,,,,,,,,,10294306,
86419318,86461553,0,False,residential,9th Street,97.981,,,,,,,,,,,10294306,
86419318,86419321,0,False,residential,F Street,70.789,,,,,,,,,,,10290235,
86419321,86419327,0,False,residential,F Street,58.157,,,,,,,,,,,10290235,
86419321,86419318,0,False,residential,F Street,70.789,,,,,,,,,,,10290235,
86419321,86514979,0,False,tertiary,8th Street,98.066,,,,,,,,,,,30062144,
86419321,86461557,0,False,tertiary,8th Street,99.818,,,,,,,,,,,30062144,
86419327,86419329,0,False,residential,F Street,155.9,,,,,,,,,,,10290235,
86419327,86511703,0,False,residential,7th Street,98.895,,,,,,,,,,,10294039,
86419327,86461567,0,False,residential,7th Street,97.981,,,,,,,,,,,10294039,
86419327,86419321,0,False,residential,F Street,58.157,,,,,,,,,,,10290235,
86419329,86419331,0,False,residential,F Street,99.227,,,,,,,,,,,10290235,
86419329,86419327,0,False,residential,F Street,155.9,,,,,,,,,,,10290235,
86419329,86515699,0,False,residential,6th st,98.777,,,,,,,,,,,469619858,
86419329,86461582,0,False,residential,6th st,96.628,,,,,,,,,,,469619858,
86419331,86419329,0,False,residential,F Street,99.227,,,,,,,,,,,10290235,
86419331,86461586,0,False,residential,5th Street,97.721,,,,,,,,,,,10294101,
86419331,86419341,0,False,residential,F Street,94.148,,,,,,,,,,,10290235,
86419331,86513173,0,False,residential,5th Street,97.314,,,,,,,,,,,10294101,
86419341,86419345,0,False,residential,F Street,92.156,,,,,,,,,,,10290235,
86419341,86419331,0,False,residential,F Street,94.148,,,,,,,,,,,10290235,
86419341,86509069,0,False,residential,4th Street,193.379,,,,,,,,,,,10293952,
86419341,86461593,0,False,residential,4th Street,98.039,,,,,,,,,,,10293952,
86419345,86419353,0,False,residential,F Street,91.688,,,,,,,,,,,10290235,
86419345,86419341,0,False,residential,F Street,92.156,,,,,,,,,,,10290235,
86419345,86436383,0,False,residential,3rd Street,173.187,,,,,,,,,,,10290726,
86419345,86436374,0,False,residential,3rd Street,98.357,,,,,,,,,,,10290726,
86419353,86419345,0,False,residential,F Street,91.688,,,,,,,,,,,10290235,
86419353,86468485,0,False,residential,2nd Street,177.315,,,,,,,,,,,10292142,
86419353,86461604,0,False,residential,2nd Street,97.1,,,,,,,,,,,10292142,
86436359,86436363,0,False,residential,3rd Street,100.024,,,,,,,,,,,10290726,
86436359,86456014,0,False,residential,"['3rd Street', 'Trent Street']",361.303,,,,,,,,,,,"[10291597, 10290726]",
86436359,86468461,0,False,residential,Bannock Street,90.563,,,,,,,,,,,10292909,
86436359,86483334,0,False,residential,Bannock Street,91.609,,,,,,,,,,,10292909,
86436363,86436365,0,False,residential,3rd Street,96.177,,,,,,,,,,,10290726,
86436363,86436359,0,False,residential,3rd Street,100.024,,,,,,,,,,,10290726,
86436363,86509187,0,False,residential,Aleut Street,91.48,,,,,,,,,,,10297476,
86436363,86468465,0,False,residential,Aleut Street,91.872,,,,,,,,,,,10297476,
86436365,86436366,0,False,residential,3rd Street,96.758,,,,,,,,,,,10290726,
86436365,86436363,0,False,residential,3rd Street,96.177,,,,,,,,,,,10290726,
86436365,86468469,0,False,tertiary,B Street,91.872,,,,,,,,,,,10297043,
86436365,86509195,0,False,tertiary,B Street,91.919,,,,,,,,,,,10297043,
86436366,86436365,0,False,residential,3rd Street,96.758,,,,,,,,,,,10290726,
86436366,86436372,0,False,residential,3rd Street,99.546,,,,,,,,,,,10290726,
86436366,86468473,0,False,residential,C Street,93.143,,,,,,,,,,,10295441,
86436366,86509205,0,False,residential,C Street,92.067,,,,,,,,,,,10295441,
86436372,86436374,0,False,residential,3rd Street,96.295,,,,,,,,,,,10290726,
86436372,86436366,0,False,residential,3rd Street,99.546,,,,,,,,,,,10290726,
86436372,86468475,0,False,residential,D Street,93.48,,,,,,,,,,,96165923,
86436372,86504921,0,False,residential,D Street,91.602,,,,,,,,,,,96165923,
86436374,86436372,0,False,residential,3rd Street,96.295,,,,,,,,,,,10290726,
86436374,86419345,0,False,residential,3rd Street,98.357,,,,,,,,,,,10290726,
86436374,86461604,0,False,residential,E Street,93.04,,,,,,,,,,,10291863,
86436374,86461593,0,False,residential,E Street,91.262,,,,,,,,,,,10291863,
86436383,86419345,0,False,residential,3rd Street,173.187,,,,,,,,,,,10290726,
86445453,86445472,0,False,residential,1st Street,386.314,,,,,,,,,,,10291167,
86445472,86605842,0,False,residential,Aleut Street,44.654,,,,,,,,,,,10297476,
86445472,86445476,0,False,residential,1st Street,96.176,,,,,,,,,,,10291167,
86445472,86445453,0,False,residential,1st Street,386.314,,,,,,,,,,,10291167,
86445472,86468465,0,False,residential,Aleut Street,257.922,,,,,,,,,,,10297476,
86445476,86468473,0,False,residential,"['C Street', '1st Street']",351.999,,,,,,,,,,,"[10295441, 10291167]",
86445476,86445472,0,False,residential,1st Street,96.176,,,,,,,,,,,10291167,
86445476,86468469,0,False,tertiary,B Street,258.271,,,,,,,,,,,10297043,
86456014,86456026,0,False,residential,Trent Street,203.994,,,,,,,,,,,10291596,
86456014,86468458,0,False,residential,"['2nd Street', 'Trent Street']",358.183,,,,,,,,,,,"[10291596, 10292142]",
86456014,86436359,0,False,residential,"['3rd Street', 'Trent Street']",361.303,,,,,,,,,,,"[10291597, 10290726]",
86456026,86456028,0,False,residential,Trent Street,90.982,,,,,,,,,,,10291596,
86456026,86456014,0,False,residential,Trent Street,203.994,,,,,,,,,,,10291596,
86456026,86483328,0,False,residential,5th Street,317.368,,,,,,,,,,,10294101,
