u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
86303194,86338939,0,False,residential,Greenstone Terrace,181.194,,,,,,,,,,,10285519,
86304320,86337652,0,False,secondary,Ridge Road,78.231,,,,,,,,,,,10285422,
86304320,86337647,0,False,secondary,Ridge Road,34.926,,,,,,,,,,,10285422,
86307859,3520111686,0,False,residential,Mill Street,37.036,,,,,,,,,,,10285156,
86307859,86342180,0,False,residential,Bernardis,61.917,,,,,,,,,,,10285720,
86307859,86334045,0,False,residential,Mill Street,163.86,,,,,,,,,,,10285156,
86309164,86337641,0,False,primary,Ridge Road,790.474,,,,,,,,,,,10285420,CA 104
86309580,86322710,0,False,secondary,Old Highway 49,105.258,,,,,,,,,,,31824474,
86309580,86309586,0,False,residential,,34.001,,,,,,,,,,,10283332,
86309580,86338119,0,False,residential,Patricia Lane,90.194,,,,,,,,,,,10285450,
86309580,86345407,0,False,secondary,Old Highway 49,398.458,,,,,,,,,,,31824474,
86309586,86352931,0,False,residential,Hygrade Drive,67.196,,,,,,,,,,,10287487,
86309586,86309580,0,False,residential,,34.001,,,,,,,,,,,10283332,
86309586,2611794219,0,False,residential,Hygrade Drive,176.329,,,,,,,,,,,10287487,
86318341,2611794221,0,False,residential,Badger Street,83.144,,,,,,,,,,,10286065,
86318341,86344581,0,False,residential,"['Woodworth Avenue', 'Anna Avenue']",295.89,,,,,,,,,,,"[10285913, 10283954]",
86318341,86322280,0,False,residential,Badger Street,129.665,,,,,,,,,,,10285522,
86321033,86335628,0,False,residential,Oro Madre Way,446.833,,,,,,,,,,,10286347,
86321033,86351885,0,False,tertiary,Sutter Ione Road,340.377,,,,,,,,,,,10286400,
86321468,2611794234,0,False,tertiary,Gopher Flat Road,9.477,,,,,,,,,,,10286855,
86321468,86354574,0,False,residential,Boston Alley,130.439,,,,,,,,,,,10287492,
86321468,86357220,0,False,tertiary,Gopher Flat Road,77.866,,,,,,,,,,,10286855,
86322280,86322282,0,False,residential,Badger Street,13.94,,,,,,,,,,,10286064,
86322280,86335491,0,False,residential,Karsan Drive,98.587,,,,,,,,,,,10285279,
86322280,86318341,0,False,residential,Badger Street,129.665,,,,,,,,,,,10285522,
86322282,86322280,0,False,residential,Badger Street,13.94,,,,,,,,,,,10286064,
86322282,86335641,0,False,residential,"['Badger Street', 'Amelia Street']",560.028,,,,,,,yes,,,,"[10286064, 345327241, 10286066, 10285963]",
86322282,3520111454,0,False,residential,Allen Ranch Road,315.978,,,,,,,,,,,345327239,
86322710,86309580,0,False,secondary,Old Highway 49,105.258,,,,,,,,,,,31824474,
86322710,86322717,0,False,residential,,166.88,,,,,,,,,,,10284333,
86322710,2611794061,0,False,secondary,Old Highway 49,84.319,,,,,,,,,,,31824474,
86322717,86322710,0,False,residential,,166.88,,,,,,,,,,,10284333,
86322791,86337641,0,False,residential,Forrest Products Road,451.052,,,,,,,,,,,10286422,
86323535,86346261,0,False,residential,Valley View Way,321.581,,,,,,,,,,,10284408,
86323535,86355828,0,False,residential,Bowers Road,150.419,,,,,,,,,,,345327244,
86329949,86356099,0,False,tertiary,Church Street,24.106,,,,,,,,,,,10286930,
86329949,86338947,0,False,residential,Greenstone Terrace,78.27,,,,,,,,,,,10285519,
86331547,86331548,0,False,residential,Mine Shaft Court,35.918,,,,,,,,,,,10285012,
86331547,2611794232,0,False,residential,Mill Street,70.896,,,,,,,,,,,10285156,
86331547,86334036,0,False,residential,Mill Street,76.856,,,,,,,,,,,10285156,
86331548,86331547,0,False,residential,Mine Shaft Court,35.918,,,,,,,,,,,10285012,
86332999,86335126,0,False,residential,Eureka Street,149.473,,,,,,,,,,,10285834,
86332999,86335130,0,False,residential,Broadway,198.75,,,,,,,,,,,10285094,
86332999,86343907,0,False,residential,Eureka Street,832.724,,,,,,,,,,,10285834,
86333884,86343886,0,False,residential,Eureka Street,50.587,,,,,,,,,,,10285834,
86333884,2611794228,0,False,secondary,Main Street,27.179,,,,,,,,,,,345327256,
86333884,2611794221,0,False,secondary,Main Street,102.825,,,,,,,yes,,,,"[345327256, 229190515, 345327255]",
86334032,86335132,0,False,residential,Broad Street,167.051,,,,,,,,,,,10285255,
86334032,2611794232,0,False,tertiary,Gopher Flat Road,27.485,,,,,,,,,,,10286855,
86334032,2611794234,0,False,tertiary,Gopher Flat Road,81.921,,,,,,,,,,,10286855,
86334036,3520111686,0,False,residential,Mill Street,10.01,,,,,,,,,,,10285156,
86334036,86347875,0,False,residential,Marre,73.193,,,,,,,,,,,10286133,
86334036,86331547,0,False,residential,Mill Street,76.856,,,,,,,,,,,10285156,
86334045,86307859,0,False,residential,Mill Street,163.86,,,,,,,,,,,10285156,
86335038,2611794206,0,False,residential,Opal Court,81.312,,,,,,,,,,,10285245,
86335038,86352931,0,False,residential,Highland Drive,45.363,,,,,,,,,,,10287335,
86335038,86347494,0,False,residential,Highland Drive,89.919,,,,,,,,,,,10287336,
86335057,86335059,0,False,residential,Worley Street,28.346,,,,,,,,,,,10285249,
86335057,86344583,0,False,residential,Dennis Street,151.725,,,,,,,,,,,10287479,
86335057,86361100,0,False,residential,Dennis Street,76.518,,,,,,,,,,,10287479,
86335059,86335057,0,False,residential,Worley Street,28.346,,,,,,,,,,,10285249,
86335059,86342564,0,False,residential,Leiby Avenue,114.007,,,,,,,,,,,10285740,
86335059,86335063,0,False,residential,Worley Street,94.159,,,,,,,,,,,10285249,
86335063,86335059,0,False,residential,Worley Street,94.159,,,,,,,,,,,10285249,
86335063,86344585,0,False,secondary,Main Street,159.104,,,,,,,,,,,229190515,
86335063,86342827,0,False,secondary,"['Old Highway 49', 'Main Street']",164.674,,,,,,,,,,,"[229190515, 10286535]",
86335126,86335130,0,False,residential,Broad Street,57.174,,,,,,,,,,,10285255,
86335126,86332999,0,False,residential,Eureka Street,149.473,,,,,,,,,,,10285834,
86335126,86343886,0,False,residential,Eureka Street,92.557,,,,,,,,,,,10285834,
86335130,86335132,0,False,residential,Broad Street,80.623,,,,,,,,,,,10285255,
86335130,86335126,0,False,residential,Broad Street,57.174,,,,,,,,,,,10285255,
